id,group,gate,source,source_line,source_text,requirement,classification,claim_label,gate_disposition,authority_homes,source_homes,test_homes,evidence_homes,acceptance_evidence,dependency,mapping_limit,plan_classification,closure_evidence,also_required_by
LAA-CANDIDATE-01,LAA-CANDIDATE,,docs/LIVING-ALPHA-ACCEPTANCE.md,26,- advanced Worker commit and full test result;,advanced Worker commit and full test result;,evidence_gap,OBSERVED,NO_PROMOTION,"[""acceptance""]",[],[],[],NOT_ESTABLISHED_FOR_CURRENT_CANDIDATE,Pinned candidate and applicable gate review; no generic conformance inference.,Named homes are inspected supporting locations only. Empty lists mean no suitable home verified in this bounded review. Test existence is not execution or acceptance.,,,
LAA-CANDIDATE-02,LAA-CANDIDATE,,docs/LIVING-ALPHA-ACCEPTANCE.md,27,- frozen production-alpha commit and deployment being compared;,frozen production-alpha commit and deployment being compared;,evidence_gap,OBSERVED,NO_PROMOTION,"[""acceptance""]",[],[],[],NOT_ESTABLISHED_FOR_CURRENT_CANDIDATE,Pinned candidate and applicable gate review; no generic conformance inference.,Named homes are inspected supporting locations only. Empty lists mean no suitable home verified in this bounded review. Test existence is not execution or acceptance.,,,
LAA-CANDIDATE-03,LAA-CANDIDATE,,docs/LIVING-ALPHA-ACCEPTANCE.md,28,"- Perihelion Genesis, seal, room bound, and canonical head constraints;","Perihelion Genesis, seal, room bound, and canonical head constraints;",evidence_gap,OBSERVED,NO_PROMOTION,"[""acceptance""]",[],[],[],NOT_ESTABLISHED_FOR_CURRENT_CANDIDATE,Pinned candidate and applicable gate review; no generic conformance inference.,Named homes are inspected supporting locations only. Empty lists mean no suitable home verified in this bounded review. Test existence is not execution or acceptance.,,,
LAA-CANDIDATE-04,LAA-CANDIDATE,,docs/LIVING-ALPHA-ACCEPTANCE.md,29,- external Agent Player clients and Controller versions;,external Agent Player clients and Controller versions;,evidence_gap,OBSERVED,NO_PROMOTION,"[""acceptance""]",[],[],[],NOT_ESTABLISHED_FOR_CURRENT_CANDIDATE,Pinned candidate and applicable gate review; no generic conformance inference.,Named homes are inspected supporting locations only. Empty lists mean no suitable home verified in this bounded review. Test existence is not execution or acceptance.,,,
LAA-CANDIDATE-05,LAA-CANDIDATE,,docs/LIVING-ALPHA-ACCEPTANCE.md,30,- enabled implemented systems;,enabled implemented systems;,evidence_gap,OBSERVED,NO_PROMOTION,"[""acceptance""]",[],[],[],NOT_ESTABLISHED_FOR_CURRENT_CANDIDATE,Pinned candidate and applicable gate review; no generic conformance inference.,Named homes are inspected supporting locations only. Empty lists mean no suitable home verified in this bounded review. Test existence is not execution or acceptance.,,,
LAA-CANDIDATE-06,LAA-CANDIDATE,,docs/LIVING-ALPHA-ACCEPTANCE.md,31,- operator interventions;,operator interventions;,evidence_gap,OBSERVED,NO_PROMOTION,"[""acceptance""]",[],[],[],NOT_ESTABLISHED_FOR_CURRENT_CANDIDATE,Pinned candidate and applicable gate review; no generic conformance inference.,Named homes are inspected supporting locations only. Empty lists mean no suitable home verified in this bounded review. Test existence is not execution or acceptance.,,,
LAA-CANDIDATE-07,LAA-CANDIDATE,,docs/LIVING-ALPHA-ACCEPTANCE.md,32,- start/end canonical heads and recovery receipts;,start/end canonical heads and recovery receipts;,evidence_gap,OBSERVED,NO_PROMOTION,"[""acceptance""]",[],[],[],NOT_ESTABLISHED_FOR_CURRENT_CANDIDATE,Pinned candidate and applicable gate review; no generic conformance inference.,Named homes are inspected supporting locations only. Empty lists mean no suitable home verified in this bounded review. Test existence is not execution or acceptance.,,,
LAA-CANDIDATE-08,LAA-CANDIDATE,,docs/LIVING-ALPHA-ACCEPTANCE.md,33,- WATCH capture and evidence digest;,WATCH capture and evidence digest;,evidence_gap,OBSERVED,NO_PROMOTION,"[""acceptance""]",[],[],[],NOT_ESTABLISHED_FOR_CURRENT_CANDIDATE,Pinned candidate and applicable gate review; no generic conformance inference.,Named homes are inspected supporting locations only. Empty lists mean no suitable home verified in this bounded review. Test existence is not execution or acceptance.,,,
LAA-CANDIDATE-09,LAA-CANDIDATE,,docs/LIVING-ALPHA-ACCEPTANCE.md,34,- known deltas from production.,known deltas from production.,evidence_gap,OBSERVED,NO_PROMOTION,"[""acceptance""]",[],[],[],NOT_ESTABLISHED_FOR_CURRENT_CANDIDATE,Pinned candidate and applicable gate review; no generic conformance inference.,Named homes are inspected supporting locations only. Empty lists mean no suitable home verified in this bounded review. Test existence is not execution or acceptance.,,,
LAA-A-01,LAA-A,A,docs/LIVING-ALPHA-ACCEPTANCE.md,40,1. The complete Worker test suite and typecheck pass together.,The complete Worker test suite and typecheck pass together.,contract_closed,OBSERVED,ACCEPTED_HISTORICAL,"[""acceptance""]",[],[],"[""gate-a""]",ACCEPTED_2026_08_25_ONLY,Preserve accepted packet; P2 regression is a new candidate check.,Named homes are inspected supporting locations only. Empty lists mean no suitable home verified in this bounded review. Test existence is not execution or acceptance.,,,
LAA-A-02,LAA-A,A,docs/LIVING-ALPHA-ACCEPTANCE.md,41,"2. Existing GC1–GC8, GC10, diplomacy, access-policy, WATCH, settlement, and recovery paths remain enabled.","Existing GC1–GC8, GC10, diplomacy, access-policy, WATCH, settlement, and recovery paths remain enabled.",contract_closed,OBSERVED,ACCEPTED_HISTORICAL,"[""acceptance""]",[],[],"[""gate-a""]",ACCEPTED_2026_08_25_ONLY,Preserve accepted packet; P2 regression is a new candidate check.,Named homes are inspected supporting locations only. Empty lists mean no suitable home verified in this bounded review. Test existence is not execution or acceptance.,,,
LAA-A-03,LAA-A,A,docs/LIVING-ALPHA-ACCEPTANCE.md,42,3. Strategically durable state shares one authoritative event and settlement spine.,Strategically durable state shares one authoritative event and settlement spine.,contract_closed,OBSERVED,ACCEPTED_HISTORICAL,"[""acceptance""]",[],[],"[""gate-a""]",ACCEPTED_2026_08_25_ONLY,Preserve accepted packet; P2 regression is a new candidate check.,Named homes are inspected supporting locations only. Empty lists mean no suitable home verified in this bounded review. Test existence is not execution or acceptance.,,,
LAA-A-04,LAA-A,A,docs/LIVING-ALPHA-ACCEPTANCE.md,43,"4. Restart/recovery does not silently lose identities, obligations, organizations, assets, access state, or settled balances.","Restart/recovery does not silently lose identities, obligations, organizations, assets, access state, or settled balances.",contract_closed,OBSERVED,ACCEPTED_HISTORICAL,"[""acceptance""]",[],[],"[""gate-a""]",ACCEPTED_2026_08_25_ONLY,Preserve accepted packet; P2 regression is a new candidate check.,Named homes are inspected supporting locations only. Empty lists mean no suitable home verified in this bounded review. Test existence is not execution or acceptance.,,,
